survived,title,surname,first name,sex,age,department,position,boarded,lifeboat,body,home
0,Mr.,Kemp,Thomas,male,43.0,Engineering,Assistant Fourth Engineer,S,,,"Southampton, Hampshire, England"
0,Mr.,Kenchenten,Frederick,male,37.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Kerr,Thomas,male,26.0,Engineering,Fireman/Stoker,S,,,"Glasgow, Scotland"
0,Mr.,Kinsella,Louis,male,30.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Kirkham,James,male,43.0,Engineering,Greaser,S,,,"Whittingham, Liverpool, Lancashire, England"
1,Mr.,Knowles,Thomas,male,39.0,Engineering,Fireman's Messman,S,C,,"Lymington, England"
0,Mr.,Lahy,Thomas,male,32.0,Engineering,Fireman/Stoker,S,,,"London, England"
0,Mr.,Lee,Henry,male,18.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Light,Charles,male,23.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Light,W.,male,47.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Lindsay,William,male,30.0,Engineering,Fireman/Stoker,S,B,,"Bristol, Avon, England"
0,Mr.,Long,Frank,male,28.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Long,William,male,36.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Loyd,W.,male,29.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Mackie,William,male,32.0,Engineering,Junior Fifth Engineer,B,,,"London, England"
1,Mr.,Major,William,male,32.0,Engineering,Fireman/Stoker,S,13,,"Southampton, Hampshire, England"
0,Mr.,Marett,George,male,27.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Marsh,Frederick,male,28.0,Engineering,Fireman/Stoker,S,,268.0,"Southampton, Hampshire, England"
0,Mr.,Maskell,L.A.,male,25.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
1,Mr.,Mason,Frank,male,32.0,Engineering,Fireman/Stoker,S,B,,"Southampton, Hampshire, England"
0,Mr.,Mason,James,male,39.0,Engineering,Leading Fireman,S,,,"Southampton, Hampshire, England"
0,Mr.,May Jr.,Arthur,male,23.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,May Sr.,Arthur,male,60.0,Engineering,Fireman's Messman,S,,,"Southampton, Hampshire, England"
0,Mr.,Mayo,William,male,27.0,Engineering,Leading Fireman,S,,117.0,"Southampton, Hampshire, England"
1,Mr.,Mayzes,Thomas,male,25.0,Engineering,Fireman/Stoker,S,3,,"Southampton, Hampshire, England"
0,Mr.,McAndrew,Thomas,male,38.0,Engineering,Fireman/Stoker,S,,,"Liverpool, Merseyside, England"
0,Mr.,McAndrews,William,male,23.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,McCastlen,William,male,38.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,McCubbin,Lee,male,,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,McGann,James,male,29.0,Engineering,Trimmer,S,B,,"Liverpool, Lancashire, England"
0,Mr.,McGarvey,Edward,male,34.0,Engineering,Fireman/Stoker,S,,,"Liverpool, Lancashire, England"
0,Mr.,McGaw,Errol,male,30.0,Engineering,Fireman/Stoker,S,,,"Aldershot, Hampshire, England"
0,Mr.,McGregor,J.,male,30.0,Engineering,Fireman/Stoker,S,,,"Edinburgh, Midlothian, Scotland"
0,Mr.,McInerney,Thomas,male,38.0,Engineering,Greaser,S,,,"Bootle, Lancashire, England"
1,Mr.,McInytre,William,male,22.0,Engineering,Trimmer,S,A,,"Southampton, Hampshire, England"
0,Mr.,McQuillan,William,male,32.0,Engineering,Fireman/Stoker,B,,183.0,"Belfast, Ireland"
0,Mr.,McRae,William,male,32.0,Engineering,Fireman/Stoker,S,,,"Shirley, Hampshire, England"
0,Mr.,McReynolds,William,male,22.0,Engineering,Junior Sixth Engineer,B,,,"Belfast, Ireland"
0,Mr.,Middleton,Alfred,male,17.0,Engineering,Assistant Electrician,B,,,"Belfast, Ireland"
0,Mr.,Milford,George,male,28.0,Engineering,Fireman/Stoker,S,,,"Ryde, Isle of Wight, Hampshire, England"
0,Mr.,Millar,Robert,male,27.0,Engineering,Extra Fifth Engineer,S,,,"Southampton, Hampshire, England"
0,Mr.,Millar,Thomas,male,33.0,Engineering,Assistant Deck Engineer,B,,,"Belfast, Ireland"
0,Mr.,Mintram,William,male,46.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Mitchell,Lawrence,male,19.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
1,Mr.,Moore,John,male,29.0,Engineering,Fireman/Stoker,S,3,,"Southampton, Hampshire, England"
0,Mr.,Moore,Ralph,male,21.0,Engineering,Trimmer,S,,,"London, England"
0,Mr.,Moores,Richard,male,44.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Morgan,Arthur,male,27.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Morgan,Thomas,male,26.0,Engineering,Fireman/Stoker,S,,302.0,"Southampton, Hampshire, England"
0,Mr.,Morrell,R.,male,21.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Morris,Arthur,male,30.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Morris,William,male,23.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Moyes,William,male,23.0,Engineering,Senior Sixth Engineer,B,,,"Stirling, Scotland"
1,Mr.,Murdock,William,male,34.0,Engineering,Fireman/Stoker,B,B,,"Belfast, Ireland"
0,Mr.,Nettleton,George,male,29.0,Engineering,Fireman/Stoker,S,,,"St. Denys, Hampshire, England"
0,Mr.,Newman,Charles,male,32.0,Engineering,Engineering Storekeeper,S,,,"Southampton, Hampshire, England"
0,Mr.,Noon,John,male,35.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Norris,James,male,22.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Noss,Bertram,male,21.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Noss,Henry,male,31.0,Engineering,Fireman/Stoker,S,15,,"Southampton, Hampshire, England"
1,Mr.,Nutbean,William,male,31.0,Engineering,Fireman/Stoker,S,3,,"Southampton, Hampshire, England"
1,Mr.,O'Connor,John,male,25.0,Engineering,Trimmer,S,B,,"Southampton, Hampshire, England"
0,Mr.,Olive,Charles,male,31.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
1,Mr.,Oliver,H.,male,32.0,Engineering,Fireman/Stoker,S,3,,"Southampton, Hampshire, England"
1,Mr.,Othen,Charles,male,36.0,Engineering,Fireman/Stoker,S,11,,"Southampton, Hampshire, England"
0,Mr.,Paice,Richard,male,32.0,Engineering,Fireman/Stoker,S,,,"Kingsclere, Hampshire, England"
0,Mr.,Painter,Charles,male,31.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Painter,Frank,male,29.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Palles,Thomas,male,45.0,Engineering,Greaser,S,,,"Liverpool, England"
0,Mr.,Parsons,Frank,male,27.0,Engineering,Senior Fifth Engineer,B,,,"Southampton, Hampshire, England"
1,Mr.,Pearce,John,male,28.0,Engineering,Fireman/Stoker,S,15,,"Southampton, Hampshire, England"
1,Mr.,Pelham,George,male,39.0,Engineering,Trimmer,S,16,,"Southampton, Hampshire, England"
1,Mr.,Perry,Edgar,male,19.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Perry,Henry,male,23.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Phillips,G.,male,27.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Pitfield,William,male,25.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
1,Mr.,Podesta,John,male,25.0,Engineering,Fireman/Stoker,S,3,,"Southampton, Hampshire, England"
0,Mr.,Pond,George,male,32.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Prangnell,George,male,31.0,Engineering,Greaser,S,B,,"Southampton, Hampshire, England"
0,Mr.,Preston,Thomas,male,20.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
1,Mr.,Priest,Arthur,male,23.0,Engineering,Fireman/Stoker,S,15,,"Southampton, Hampshire, England"
0,Mr.,Proudfoot,Richard,male,22.0,Engineering,Trimmer,S,,,"Plymouth, Devon, England"
0,Mr.,Pugh,Percy,male,31.0,Engineering,Leading Fireman,S,,,"Hampshire, England"
1,Mr.,Pusey,William,male,24.0,Engineering,Fireman/Stoker,S,1,,"Hythe, Hampshire, England"
1,Mr.,Ranger,Thomas,male,29.0,Engineering,Greaser,S,4,,"Southampton, Hampshire, England"
0,Mr.,Read,Joseph,male,20.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Reed,Robert,male,30.0,Engineering,Trimmer,S,,,"Gosport, Hampshire, England"
0,Mr.,Reeves,Robert,male,30.0,Engineering,Fireman/Stoker,S,,280.0,"Southampton, Hampshire, England"
1,Mr.,Rice,Charles,male,32.0,Engineering,Fireman/Stoker,S,10,,"Southampton, Hampshire, England"
0,Mr.,Richards,Joseph,male,30.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Rickman,George,male,36.0,Engineering,Fireman/Stoker,S,,,"Milford, Hampshire, England"
0,Mr.,Roberts,Robert,male,35.0,Engineering,Fireman/Stoker,S,,,"Bransgore, Hampshire, England"
0,Mr.,Rous,Arthur,male,26.0,Engineering,Plumber,S,,,"Southampton, Hampshire, England"
0,Mr.,Rudd,Henry,male,23.0,Engineering,Engineering Storkeeper,S,,86.0,"Southampton, Hampshire, England"
0,Mr.,Rutter,Sidney,male,27.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Sangster,Charles,male,30.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Saunders,Thomas,male,,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Saunders,W.,male,30.0,Engineering,Fireman/Stoker,S,,184.0,"Southampton, Hampshire, England"
0,Mr.,Saunders,W.,male,23.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Scott,Archibald,male,40.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Scott,Frederick,male,28.0,Engineering,Greaser,S,4,,"Southampton, Hampshire, England"
0,Mr.,Self,Alfred,male,40.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
1,Mr.,Self,Edward,male,25.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Senior,Henry,male,31.0,Engineering,Fireman/Stoker,S,B,,"London, England"
0,Mr.,Shea,Thomas,male,29.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Sheath,Frederick,male,20.0,Engineering,Trimmer,S,1,,"Southampton, Hampshire, England"
0,Mr.,Shepherd,Johnathan,male,32.0,Engineering,Junior Assistant Second Engineer,S,,,"Southampton, Hampshire, England"
1,Mr.,Shiers,Alfred,male,24.0,Engineering,Fireman/Stoker,S,5,,"Southampton, Hampshire, England"
0,Mr.,Shillaber,Charles,male,20.0,Engineering,Trimmer,S,,195.0,"Southampton, Hampshire, England"
0,Mr.,Skeates,William,male,26.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Sloan,Peter,male,31.0,Engineering,Chief Electrician,B,,,"Southampton, Hampshire, England"
0,Mr.,Small,William,male,40.0,Engineering,Leading Fireman,S,,,"Southampton, Hampshire, England"
0,Mr.,Smith,Ernest,male,27.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Smith,James,male,35.0,Engineering,Junior Fourth Engineer,S,,,"Southampton, Hampshire, England"
0,Mr.,Smither,Harry,male,22.0,Engineering,Fireman/Stoker,S,,,"Kilburn, Middlesex, England"
0,Mr.,Snellgrove,George,male,41.0,Engineering,Fireman/Stoker,S,,,"Millbrook, Hampshire, England"
0,Mr.,Snooks,W,male,26.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
1,Mr.,Snowberger,Eustace,male,21.0,Engineering,Trimmer,S,B,,"Southampton, Hampshire, England"
1,Mr.,Sparkman,Henry,male,36.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Stafford,Michael,male,34.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Stanbrook,Augustus,male,30.0,Engineering,Fireman/Stoker,S,,316.0,"Southampton, Hampshire, England"
0,Mr.,Steel,Robert,male,30.0,Engineering,Trimmer,S,,,"Guernsey, Channel Islands"
0,Mr.,Stocker,Henry,male,20.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
1,Mr.,Street,Henry,male,25.0,Engineering,Fireman/Stoker,S,9,,"Southampton, Hampshire, England"
0,Mr.,Stubbs,James,male,28.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Sullivan,S.,male,25.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Taylor,James,male,25.0,Engineering,Fireman/Stoker,S,1,,"Southampton, Hampshire, England"
0,Mr.,Taylor,John,male,32.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Taylor,T.,male,42.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Taylor,William,male,28.0,Engineering,Fireman/Stoker,S,15,,"Southampton, Hampshire, England"
0,Mr.,Thomas,James,male,27.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
1,Mr.,Thompson,John,male,42.0,Engineering,Fireman/Stoker,S,A,,"Liverpool, England"
1,Mr.,Threlfall,Thomas,male,38.0,Engineering,Leading Fireman,S,14,,"Liverpool, England"
1,Mr.,Thresher,George,male,25.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Tizard,Arthur,male,31.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Tozer,James,male,32.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
1,Mr.,Triggs,Robert,male,41.0,Engineering,Fireman/Stoker,S,3,,"Southampton, Hampshire, England"
0,Mr.,Turley,Richard,male,37.0,Engineering,Fireman/Stoker,S,,,"Newry, Down, Ireland"
0,Mr.,Veal,Arthur,male,36.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Vear,Henry,male,32.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Vear,W.,male,32.0,Engineering,Fireman/Stoker,S,,59.0,"Southampton, Hampshire, England"
0,Mr.,Ward,Arthur,male,24.0,Engineering,Junior Assistant Fourth Engineer,S,,,"Romsey, England"
0,Mr.,Ward,Joseph,male,31.0,Engineering,Leading Fireman,S,,,"Southampton, Hampshire, England"
0,Mr.,Wardner,Frederick,male,39.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Wateridge,Edward,male,25.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Watson,W.,male,27.0,Engineering,Fireman/Stoker,S,,158.0,"Southampton, Hampshire, England"
0,Mr.,Webb,Samuel,male,28.0,Engineering,Trimmer,S,,,"Salford, Manchester, Lancashire, England"
0,Mr.,Webber,Francis,male,31.0,Engineering,Leading Fireman,S,,,"Southampton, Hampshire, England"
1,Mr.,White,Alfred,male,32.0,Engineering,Greaser,S,4,,"Southampton, Hampshire, England"
0,Mr.,White,Frank,male,27.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
1,Mr.,White,William,male,23.0,Engineering,Trimmer,S,15,,"Salisbury, Wiltshire, England"
0,Mr.,Williams,Samuel,male,26.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Wilson,Bertie,male,28.0,Engineering,Senior Assistant Second Engineer,S,,,"Southampton, Hampshire, England"
0,Mr.,Wilton,William,male,45.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Witcher,Alfred,male,40.0,Engineering,Fireman/Stoker,S,,,"Lymington, England"
0,Mr.,Witt,F.,male,,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Witt,Henry,male,40.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Wood,Henry,male,31.0,Engineering,Trimmer,S,,,"Southampton, Hampshire, England"
0,Mr.,Woodford,Frederick,male,41.0,Engineering,Greaser,S,,,"Southampton, Hampshire, England"
0,Mr.,Wyeth,James,male,26.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,Young,Francis,male,30.0,Engineering,Fireman/Stoker,S,,,"Southampton, Hampshire, England"
0,Mr.,van der Brugge,Wessel,male,42.0,Engineering,Fireman/Stoker,S,,,"Delfshaven, Rotterdam, Netherlands"
0,Mr.,Gwinn,William,male,37.0,Mail,Postal Clerk,S,,,"New York City, US"
0,Mr.,March,John,male,50.0,Mail,Postal Clerk,S,,225.0,"Newark, New Jersey, US"
0,Mr.,Smith,John,male,35.0,Mail,Postal Clerk,S,,,"Truro, England"
0,Mr.,Williamson,James,male,35.0,Mail,Postal Clerk,S,,,"Dublin, Ireland"
0,Mr.,Woody,Oscar,male,41.0,Mail,Postal Clerk,S,,167.0,"Clifton, Virginia, US"
1,Sub-Lieutenant,Boxhall,Joseph,male,28.0,Officers,Fourth Officer,B,2,,"Hull, Yorkshire, England"
1,Sub-Lieutenant,Lightoller,Charles,male,38.0,Officers,Second Officer,B,B,,"Netley, Hampshire, England"
1,Sub-Lieutenant,Lowe,Harold,male,29.0,Officers,Fifth Officer,B,14,,"Barmouth, Merionethshire, Wales"
0,Sub-Lieutenant,Moody,James,male,24.0,Officers,Sixth Officer,B,,,"Grimsby, Lincolnshire, England"
0,Lieutenant,Murdoch,William,male,39.0,Officers,First Officer,B,,,"Dalbeattie, Kirkcudbrightshire, Scotland"
1,Mr.,Pitman,Herbert,male,34.0,Officers,Third Officer,B,5,,"Castle Cary, Somerset, England"
0,Commander,Smith,Edward,male,62.0,Officers,Captain,S,,,"Hanley, Stoke-on-Trent, Staffordshire, England"
0,Lieutenant,Wilde,Henry,male,39.0,Officers,Chief Officer,S,,,"Walton, Lancashire, England"
0,Mr.,Allaria,Battista,male,30.0,Restaurant,Asst. Waiter,S,,221.0,"Southampton, Hampshire, England"
0,Mr.,Aspeslagh,Georges,male,26.0,Restaurant,Asst. Plateman,S,,,"London, England"
0,Mr.,Banfi,Ugo,male,24.0,Restaurant,Waiter,S,,,"Finsbury, London, England"
0,Mr.,Basilico,Giovanni,male,27.0,Restaurant,Waiter,S,,,"London, England"
0,Mr.,Bazzi,Narciso,male,33.0,Restaurant,Waiter,S,,,"London, England"
0,Mr.,Bernardi,Battista,male,22.0,Restaurant,Asst. Waiter,S,,215.0,"Southampton, Hampshire, England"
0,Mr.,Beux,David,male,26.0,Restaurant,Asst. Waiter,S,,,"London, England"
0,Mr.,Bietrix,George,male,28.0,Restaurant,Cook,S,,,"Lambeth, London, England"
0,Mr.,Blument,Jean,male,26.0,Restaurant,Pantryman,S,,,"Southampton, Hampshire, England"
0,Mr.,Bochet,Pierre,male,43.0,Restaurant,Waiter,S,,,"London, England"
0,Mr.,Bolhuis,Hendrik,male,21.0,Restaurant,Larder Cook,S,,,"Southampton, Hampshire, England"
1,Miss,Bowker,Ruth,female,27.0,Restaurant,Cashier,S,6,,"London, England"
0,Mr.,Casali,Giulio,male,27.0,Restaurant,Waiter,S,,,"Soho, London, England"
0,Mr.,Chaboisson,Adrien,male,25.0,Restaurant,Roast Cook,S,,,"London, England"
0,Mr.,Cornaire,,male,19.0,Restaurant,Asst. Roast Cook,S,,,"London, England"
0,Mr.,Coutin,Auguste,male,28.0,Restaurant,Entrée Cook,S,,,"Southampton, Hampshire, England"
0,Mr.,Crovella,Luigi,male,17.0,Restaurant,Asst. Waiter,S,,,"Southampton, Hampshire, England"
0,Mr.,De Marsico,Giovanni,male,20.0,Restaurant,Asst. Waiter,S,,,"Soho, London, England"
0,Mr.,Debreucq,Maurice,male,22.0,Restaurant,Asst. Waiter,S,,244.0,"London, England"
0,Mr.,Desvernine,Louis,male,20.0,Restaurant,Asst. Pastry Cook,S,,,"London, England"
0,Mr.,Donati,Italo,male,17.0,Restaurant,Asst. Waiter,S,,311.0,"London, England"
0,Mr.,Dornier,Louis,male,20.0,Restaurant,Asst. Fish Cook,S,,,"Southampton, Hampshire, England"
0,Mr.,Fey,Carlo,male,30.0,Restaurant,Scullion,S,,,"London, England"
0,Mr.,Fioravante,Giuseppe,male,23.0,Restaurant,Asst. Scullion,S,,,"London, England"
0,Mr.,Gatti,Gaspare,male,37.0,Restaurant,Restaurant Manager,S,,313.0,"Southampton, Hampshire, England"
0,Mr.,Gilardino,Vincenzo,male,31.0,Restaurant,Waiter,S,,,"Southampton, Hampshire, England"
0,Mr.,Grosclaude,Gérald,male,24.0,Restaurant,Waiter,S,,,"London, England"
0,Mr.,Jaillet,Henri,male,28.0,Restaurant,Pastry Cook,S,,277.0,"London, England"
0,Mr.,Janin,Claude,male,29.0,Restaurant,Soup Cook,S,,,"London, England"
0,Mr.,Jeffery,William,male,28.0,Restaurant,Controller,S,,,"Southampton, Hampshire, England"
0,Mr.,Jouannault,Georges,male,24.0,Restaurant,Asst. Sauce Cook,S,,,"Southampton, Hampshire, England"
1,Miss,Martin,Margaret,female,20.0,Restaurant,Cashier,S,6,,"London, England"
0,Mr.,Mattmann,Adolf,male,20.0,Restaurant,Ice Man,S,,,"Southampton, Hampshire, England"
1,Mr.,Maugé,Paul,male,25.0,Restaurant,Kitchen Clerk,S,13,,"Southampton, Hampshire, England"
0,Mr.,Monrós,Joan,male,20.0,Restaurant,Asst. Waiter,S,,27.0,"Southampton, Hampshire, England"
0,Mr.,Monteverdi,Giovanni,male,23.0,Restaurant,Cook,S,,,"Southampton, Hampshire, England"
0,Mr.,Nannini,Francesco,male,42.0,Restaurant,Head Waiter,S,,,"Southampton, Hampshire, England"
0,Mr.,Pachera,Jean,male,19.0,Restaurant,Asst. Larder Cook,S,,,"Southampton, Hampshire, England"
0,Mr.,Pedrini,Alessandro,male,21.0,Restaurant,Asst. Waiter,S,,104.0,"Southampton, Hampshire, England"
0,Mr.,Peracchio,Alberto,male,20.0,Restaurant,Asst. Waiter,S,,,"Southampton, Hampshire, England"
0,Mr.,Peracchio,Sebastiano,male,17.0,Restaurant,Asst. Waiter,S,,,"Southampton, Hampshire, England"
0,Mr.,Perotti,Alfonso,male,20.0,Restaurant,Asst. Waiter,S,,,"London, England"
